id,category,title,description,type,goal,raised,progress,icon,image,imageSource, stats1_number,stats1_label,stats2_number,stats2_label,stats3_number,stats3_label
1,"Humanitär","Waisenkind Patenschaft - Ein Jahr Essen und Bildung","Finanzierung von Lebensunterhalt und Bildungskosten eines Waisenkindes in Syrien. Durch direkte Kommunikation mit unseren lokalen Partnern können wir für maximale Transparenz sorgen und sicherstellen das das Geld an die richtigen Stellen kommt.","humanitarian",0,0,0,"Heart","/images/children.jpg","Eigene Aufnahmen","","","","","",""
2,"Humanitär","Monatsgehalt an Familie in Not spenden","Die Gehälter in Syrien sind sehr niedrig trotz neulicher Erhöhung. Die Waren und Grundnahrungsmittel aber nicht. Mit einer kleinen Summe können Sie eine Familie in Not für einen ganzen Monat enorm unterstützen.","humanitarian",0,0,0,"Heart","/images/gehalt.jpg","Eigene Aufnahmen","","","","","",""
3,"Humanitär","Anschaffung Trinkwasserbrunnen für Dorf","Anschaffung und Installation eines Trinkwasserbrunnens für Dörfer, die von Wasserknappheit und Trockenheit besonders betroffen sind.","humanitarian",0,0,0,"Users","/images/water.jpg","Eigene Aufnahmen","","","","","",""
4,"Energie & Bildung","Der El-Asafir Solar Strom","250 kW Solarsystem für eine ländliche Schule, landwirtschaftlichen Hub und Wohnhäuser in einem zerbombten Dorf in Rural Damaskus. Über 10.000 Menschen, 500 Schüler und 50 landwirtschaftliche Betriebe erhalten stabile Elektrizität für Bildung und Produktion.","major",0,0,0,"Zap","/images/pv-sys.jpg","Eigene Aufnahmen","10.000","Menschen mit Strom versorgen","500+","Schüler mit Strom versorgen",">50","landwirtschaftliche Betriebe mit Strom versorgen"
5,"Gesundheit","Douma National Hospital Renovierung","Wiederherstellung Teil der Kapazitäten eines Krankenhauses das über 1 Million Patienten jährlich versorgt. Das Krankenhaus wurde vom alten Regime komplett bombardiert, was wir nach 12.2024 mit Dronenaufnahme dokumentieren konnten. Unser Partner NGO in Douma hat nach der Zerstörung eine Multi-Fachklinik eingerichtet und will das weiterbauen und zu einem Krankenhaus rehabilitieren.","major",0,0,0,"Heart","/images/douma-hospital-after.jpg","Eigene Aufnahmen","1 Mio+","Patienten/Jahr","100%","Notwendig","100%","Nachhaltig"
6,"Bildung","Renovierung von 5 Schulen in Douma","Sanierung von Schulen zu sicheren hochwertigen Standards. 3.000+ Schüler erhalten verbesserte Bildungsumgebungen mit modernen Klassenzimmern sanitären Anlagen und barrierefreiem Zugang.","major",0,0,0,"GraduationCap","/images/schule.jpg","Eigene Aufnahmen","3000+","Schüler","5","Schulen","100%","Zukunftssicher"
