id,category,title,description,type,goal,raised,progress,icon,image, imageSource, stats1_number,stats1_label,stats2_number,stats2_label,stats3_number,stats3_label
1,"إنساني","كفالة يتيم - عام كامل من الطعام والتعليم","ساهم في تمويل نفقات المعيشة وتكاليف التعليم لطفل يتيم في سوريا. من خلال التواصل المباشر مع شركائنا المحليين، يمكننا ضمان أقصى قدر من الشفافية والتأكد من وصول الأموال إلى المكان  الصحيح.","humanitarian",0,0,0,"Heart","/shamsy/images/children.jpg","صور خاصة"","","","","","",""
2,"إنساني","تبرع براتب شهري لعائلة محتاجة","الرواتب في سوريا منخفضة جداً رغم الزيادات الأخيرة. لكن البضائع والمواد الأساسية زاد سعرها. بمبلغ متواضع، يمكنك دعم عائلة محتاجة بشكل هائل لمدة شهر كامل.","humanitarian",0,0,0,"Heart","/shamsy/images/gehalt.jpg","صور خاصة"","","","","","",""
3,"إنساني","تأمين مياه صالحة للشرب لقرية","ساهم في تركيب و تدوير براد مياه في القرى التي تعاني من الجفاف ونقص المياه. قطرة من عطائك قد تروي عطش قرية بأكملها وتعيد الحياة إلى أرضٍ أنهكها العطش.","humanitarian",0,0,0,"Users","/shamsy/images/water.jpg","صور خاصة"","","","","","",""
4,"الطاقة والتعليم","مشروع كهرباء من شمس دير العصافير","نظام طاقة شمسية بقدرة 250 كيلوواط لتغذية مدرسة، منشآت زراعية ومباني سكنية في ريف دمشق دمرتها الحرب. أكثر من 10,000 شخص و500 طالب و50 مزرعة يحصلون على كهرباء مستقرة للتعليم والإنتاج.","major",0,0,0,"Zap","/shamsy/images/pv-sys.jpg","صور خاصة",","10,000","شخص يحصل على الكهرباء","500+","طالب يحصل على الكهرباء",">50","عملية زراعية تحصل على الكهرباء"
5,"الصحة","إعادة تأهيل مستشفى دوما الوطني","نعمل على استعادة جزء من قدرة مستشفى كان يخدم أكثر من مليون مريض سنوياً قبل أن يدمره القصف بالكامل من قبل النظام السابق. استطعنا  توثيق هذا الدمار في نهاية عام 2024 بطائرات الدرون، بسبب عدم وجود بديل أنشأ شريكنا المحلي في دوما عيادة متعددة التخصصات ويطمح الآن لإعادة بناء المستشفى ليعود منارةً للحياة والعلاج في المنطقة.","major",0,0,0,"Heart","/shamsy/images/douma-hospital-after.jpg","صور خاصة",","مليون+","مريض/سنة","100%","ضروري","100%","مستدام"
6,"التعليم","تجديد خمس مدارس في دوما","نرمم خمس مدارس لتصبح بيئات تعليمية آمنة وحديثة. أكثر من 3,000 طالب سيحصلون على صفوف مجهزة، مرافق صحية نظيفة، ووصول ميسر لذوي الاحتياجات الخاصة – لأن التعليم هو طريق المستقبل والأمل.","major",0,0,0,"GraduationCap","/shamsy/images/schule.jpg","صور خاصة",","3000+","طالب","5","مدارس","100%","مقاوم للمستقبل"
