id,title,category,location,year,description,beneficiaries,challenges,impact,status,image,imageSource
1,"Rundum Versorgung von Waisenkinder","Humanitär","Damascus und Umgebung","2011-2025","Zahlreiche Patenschaften von Waisenkinder finanziert, die Lebensunterhaltungs- sowie Schulkosten abdecken. Dies schaffen wir und sogar mit höchster Trasnparenz durch unseren Partner NGOs in Syrien.","Waisenkinder","Spenden sammeln, Dauerfinanzierung socherstellen.","Überlebenssicherung und neue Perspektiven","laufend","/images/children.jpg","Eigene Aufnahmen"
2,"Essen und Kleidung für alle","Humanitär","Damascus und Umgebung","2011-2024","Winterhilfe, Kleidung und Nahrungsmittel erreichten vertriebene Familien von Spenden aus Syrien und Deutschland. Wir haben jährlich undser bestes gegeben, dass Familien und Kinder den kommenden Wimter überleben können.","Menschen die mit Nichts fliehen mussten, Kinder, Frauen","Materialtransport unter Kriegsbedingungen und von Deutschland nach Syrien, Geheimhaltung vor dem Regime","Überlebenssicherung und neue Perspektiven","laufend","/images/kindergruppe.jpg","Eigene Aufnahmen"
3,"15 Notunterkünfte gebaut","Unterkünfte","Eastern Ghouta","2011-2024","15 widerstandsfähige Unterkünfte wurden für Familien errichtet, die durch den Krieg im ländlichen Damaskus ihr Zuhause verloren haben – von der Planung über den Bau bis hin zur vollständigen Ausstattung. Gemeinsam mit unseren lokalen Partner NGOs sorgte unser transparentes Auswahlverfahren dafür, dass die Hilfe die Familien erreichte, die sie am dringendsten benötigten.","120 Familien","Materialtransport unter Kriegsbedingungen, Sicherheit der Bauteams, Geheimhaltung vor dem Regime","Über 500 Menschen erhielten sicheren Wohnraum","Erfolgreich abgeschlossen","/images/hero-destruction.jpg","Eigene Aufnahmen"
4,"Schulen renoviert und ausgestattet","Bildung","Der El-Asafir, Rural Damaskus","2022-2024","Die Wiedereröffnung einer kriegsbeschädigten Schule wurde durch die Mobilisierung von Freiwilligen, die Reparatur der Infrastruktur und die Wiederherstellung sicherer Lernräume ermöglicht. Gemeinsam gaben wir Kindern ihre Zukunft zurück – einen Ort, an dem Hoffnung und Bildung wieder gedeihen können.","400 Schüler","Beschaffung von Materialien, Transport in unsichere Gebiete, Koordination mit lokalen Partnern unter Geheimhaltung","Bessere Lernbedingungen für eine ganze Generation","Erfolgreich abgeschlossen","/images/kindergruppe.jpg","Eigene Aufnahmen"
5,"Medizinische Operationen ermöglicht","Gesundheit","Verschiedene Krankenhäuser","2011-2024","Lebensverändernde Operationen und medizinische Eingriffe für bedürftige Patienten und Kinder wurden finanziert und koordiniert – einschließlich der Bereitstellung von spezialisierten Hörgeräten für Kriegsbetroffene. Gemeinsam schenkten wir Menschen ihre Gesundheit und Lebensqualität zurück, die durch den Krieg verloren gegangen waren.","Menschen in Not","Suche nach bedürftigen Patienten in Kriegszeiten, Koordination mit Ärzten und Krankenhäuser, Anschaffung medizinischer Geräte","Menschenleben gerettet, Neue Möglichkeiten geschaffen","Erfolgreich abgeschlossen","/images/operation.jpg","Eigene Aufnahmen"
6,"Medikamente bereitgestellt","Humanitär","Damascus und Umgebung","2011-2024","Beschaffung und Lieferung von Medikamenten und kritischen Diagnostikgeräten zur Verbesserung der Notfall- und Spezialversorgung. Sichere Lieferung und Schulung des Krankenhauspersonals in Douma wurden gewährleistet – damit lebensrettende Hilfe dort ankommt, wo sie am dringendsten gebraucht wird.","Menschen in Not und Kriegsbetroffene","Materialtransport unter Kriegsbedingungen und von Deutschland nach Syrien, Geheimhaltung vor dem Regime","Lebensrettende medizinische Versorgung sichergestellt","Erfolgreich abgeschlossen","/images/help.jpg","Eigene Aufnahmen"
